Team,3PM,3PA,3P%,3P% share in Total Points,Year
Atlanta Hawks,8,22.4,36,25.32,1996-97
Boston Celtics,5.7,16.2,35.1,16.99,1996-97
Brooklyn Nets,5.9,16.7,35.3,18.21,1996-97
Chicago Bulls,6.4,17.1,37.3,18.63,1996-97
Cleveland Cavaliers,5.9,15.7,37.6,20.23,1996-97
Dallas Mavericks,5.2,16,32.6,17.22,1996-97
Denver Nuggets,7.8,20.9,37.2,23.93,1996-97
Detroit Pistons,7.1,18.3,38.8,22.62,1996-97
Golden State Warriors,5.9,16.6,35.3,17.78,1996-97
Houston Rockets,8.2,22.4,36.5,24.46,1996-97
Indiana Pacers,5.2,13.8,38.1,16.36,1996-97
Los Angeles Clippers,5.8,16.3,35.4,17.91,1996-97
Los Angeles Lakers,6.7,18.3,36.7,20.1,1996-97
Memphis Grizzlies,5.4,15.5,34.9,18.17,1996-97
Miami Heat,8.3,22.7,36.4,26.27,1996-97
Milwaukee Bucks,4,11.2,35.2,12.59,1996-97
Minnesota Timberwolves,4.5,13.3,33.9,14.05,1996-97
New York Knicks,5.7,15.8,36.3,17.93,1996-97
Oklahoma City Brooklyn Nets,6.8,19.3,35.3,20.22,1996-97
Orlando Magic,6.9,20.3,34.1,21.99,1996-97
Philadelphia 76ers,5.3,16.5,31.9,15.87,1996-97
Phoenix Suns,6.4,17.4,36.9,18.68,1996-97
Portland Trail Blazers,6.1,17.1,35.8,18.49,1996-97
Sacramento Kings,5,12.9,39.1,15.57,1996-97
San Antonio Spurs,4.6,14.4,32,15.25,1996-97
Toronto Raptors,7.2,19.8,36.3,22.62,1996-97
Utah Jazz,4.1,11,37,11.94,1996-97
Washington Wizards,4,12.2,33.1,12.08,1996-97
Charolette Hornets,7.2,16.9,42.8,21.85,1996-97
New Orleans Pelicans, , , , ,1996-97
Atlanta Hawks,4.1,12.4,33.2,12.83,1997-98
Boston Celtics,5.1,15.2,33.2,15.96,1997-98
Brooklyn Nets,3.8,11.4,33.1,11.45,1997-98
Chicago Bulls,3.8,11.7,32.3,11.79,1997-98
Cleveland Cavaliers,3.6,9.8,37.2,11.67,1997-98
Dallas Mavericks,5.1,14.4,35.7,16.74,1997-98
Denver Nuggets,3.5,10.9,32.3,11.79,1997-98
Detroit Pistons,3.6,11.4,31.2,11.47,1997-98
Golden State Warriors,2.3,8.5,27.2,7.81,1997-98
Houston Rockets,7,20.4,34.3,21.25,1997-98
Indiana Pacers,4.9,12.5,39,15.31,1997-98
Los Angeles Clippers,6.4,17.9,35.8,20.03,1997-98
Los Angeles Lakers,6.1,17.3,35.1,17.34,1997-98
Memphis Grizzlies,4,11,36.2,12.43,1997-98
Miami Heat,6.7,18.8,35.5,21.16,1997-98
Milwaukee Bucks,3,8.6,35.4,9.53,1997-98
Minnesota Timberwolves,3.7,10.6,34.7,10.98,1997-98
New York Knicks,4.7,13.9,33.5,15.39,1997-98
Oklahoma City Thunder,7.6,19.2,39.5,22.66,1997-98
Orlando Magic,3.6,11.1,32.3,11.99,1997-98
Philadelphia 76ers,3,9.9,30,9.65,1997-98
Phoenix Suns,5.3,14.8,35.6,15.97,1997-98
Portland Trail Blazers,4,12.8,30.9,12.72,1997-98
Sacramento Kings,3.5,9.8,35.1,11.28,1997-98
San Antonio Spurs,3.7,10.5,35,12,1997-98
Toronto Raptors,4.5,13.2,34.3,14.23,1997-98
Utah Jazz,3,8.2,37.2,11.89,1997-98
Washington Wizards,3.9,11.5,33.9,12.04,1997-98
Charolette Hornets,4.2,11,38.3,13.04,1997-98
New Orleans Pelicans, , , , ,1997-98
Atlanta Hawks,3.9,12.9,30.6,13.56,1998-99
Boston Celtics,5.5,15.2,36,17.75,1998-99
Brooklyn Nets,4.5,13.6,33.1,14.78,1998-99
Chicago Bulls,3.5,12.2,29,12.83,1998-99
Cleveland Cavaliers,3.6,10.7,34.1,12.5,1998-99
Dallas Mavericks,4,11.9,33.9,13.1,1998-99
Denver Nuggets,6,18.4,32.8,19.26,1998-99
Detroit Pistons,5,13.6,36.5,16.6,1998-99
Golden State Warriors,3.2,11.3,28.3,10.88,1998-99
Houston Rockets,6.7,18.3,36.8,21.34,1998-99
Indiana Pacers,5.9,16,36.8,18.7,1998-99
Los Angeles Clippers,4.3,13.4,32,14.27,1998-99
Los Angeles Lakers,4.8,13.7,35.2,14.54,1998-99
Memphis Grizzlies,3,9.1,32.7,10.13,1998-99
Miami Heat,5.8,16.1,35.9,19.56,1998-99
Milwaukee Bucks,4.6,12.4,37.3,15.05,1998-99
Minnesota Timberwolves,2.4,8.2,29.8,7.76,1998-99
New York Knicks,4.2,11.8,35.3,14.59,1998-99
Oklahoma City Thunder,6.2,18,34.4,19.6,1998-99
Orlando Magic,4.5,13.5,33,15.09,1998-99
Philadelphia 76ers,2,7.4,26.4,6.69,1998-99
Phoenix Suns,5.2,14,37.2,16.32,1998-99
Portland Trail Blazers,4.9,13.5,36.4,15.5,1998-99
Sacramento Kings,5.8,18.9,30.8,17.36,1998-99
San Antonio Spurs,3.4,10.4,33,11,1998-99
Toronto Raptors,4.5,13.2,34.1,14.82,1998-99
Utah Jazz,2.8,7.8,36.1,9,1998-99
Washington Wizards,3.6,11.6,30.9,11.85,1998-99
Charolette Hornets,5.4,14.7,36.5,17.43,1998-99
New Orleans Pelicans, , , , ,1998-99
Atlanta Hawks,3.1,9.9,31.7,9.87,1999-00
Boston Celtics,5.1,15.4,33.1,15.41,1999-00
Brooklyn Nets,5.8,16.8,34.7,17.76,1999-00
Chicago Bulls,4.1,12.6,32.9,14.51,1999-00
Cleveland Cavaliers,4.2,11.2,37.3,12.99,1999-00
Dallas Mavericks,6.3,16.2,39.1,18.64,1999-00
Denver Nuggets,5.7,17,33.6,17.28,1999-00
Detroit Pistons,5.4,14.9,35.9,15.66,1999-00
Golden State Warriors,4.2,13,32.3,13.2,1999-00
Houston Rockets,7.1,19.8,35.8,21.41,1999-00
Indiana Pacers,7.1,18.1,39.2,21.03,1999-00
Los Angeles Clippers,5.2,15.5,33.9,16.96,1999-00
Los Angeles Lakers,4.2,12.8,32.9,12.5,1999-00
Memphis Grizzlies,4,11,36.1,12.78,1999-00
Miami Heat,5.4,14.7,37.1,17.17,1999-00
Milwaukee Bucks,4.8,13,36.9,14.23,1999-00
Minnesota Timberwolves,3,8.7,34.6,9.14,1999-00
New York Knicks,4.3,11.4,37.5,14,1999-00
Oklahoma City Thunder,6.7,19.6,33.9,20.29,1999-00
Orlando Magic,3.6,10.6,33.8,10.79,1999-00
Philadelphia 76ers,2.5,7.8,32.3,7.92,1999-00
Phoenix Suns,5.6,15.2,36.8,16.99,1999-00
Portland Trail Blazers,5,13.8,36.1,15.38,1999-00
Sacramento Kings,6.5,20.2,32.2,18.58,1999-00
San Antonio Spurs,4,10.8,37.4,12.48,1999-00
Toronto Raptors,5.2,14.3,36.3,16.05,1999-00
