Yr,Winner,Loser
2022,Milwaukee Bucks (3),Chicago Bulls (6)
2022,Memphis Grizzlies (2),Minnesota Timberwolves (7)
2022,Boston Celtics (2),Brooklyn Nets (7)
2022,Golden State Warriors (3),Denver Nuggets (6)
2022,Dallas Mavericks (4),Utah Jazz (5)
2022,Philadelphia 76ers (4),Toronto Raptors (5)
2022,Phoenix Suns (1),New Orleans Pelicans (8)
2022,Miami Heat (1),Atlanta Hawks (8)
2022,Boston Celtics (2),Milwaukee Bucks (3)
2022,Miami Heat (1),Philadelphia 76ers (4)
2022,Dallas Mavericks (4),Phoenix Suns (1)
2022,Golden State Warriors (3),Memphis Grizzlies (2)
2022,Golden State Warriors (3),Dallas Mavericks (4)
2022,Boston Celtics (2),Miami Heat (1)
2022,Golden State Warriors (3),Boston Celtics (2)
2021,Milwaukee Bucks (3),Miami Heat (6)
2021,Los Angeles Clippers (4),Dallas Mavericks (5)
2021,Brooklyn Nets (2),Boston Celtics (7)
2021,Denver Nuggets (3),Portland Trail Blazers (6)
2021,Philadelphia 76ers (1),Washington Wizards (8)
2021,Utah Jazz (1),Memphis Grizzlies (8)
2021,Atlanta Hawks (5),New York Knicks (4)
2021,Phoenix Suns (2),Los Angeles Lakers (7)
2021,Milwaukee Bucks (3),Brooklyn Nets (2)
2021,Atlanta Hawks (5),Philadelphia 76ers (1)
2021,Phoenix Suns (2),Denver Nuggets (3)
2021,Los Angeles Clippers (4),Utah Jazz (1)
2021,Phoenix Suns (2),Los Angeles Clippers (4)
2021,Milwaukee Bucks (3),Atlanta Hawks (5)
2021,Milwaukee Bucks (3),Phoenix Suns (2)
2020,Milwaukee Bucks (1),Orlando Magic (8)
2020,Toronto Raptors (2),Brooklyn Nets (7)
2020,Boston Celtics (3),Philadelphia 76ers (6)
2020,Miami Heat (5),Indiana Pacers (4)
2020,Los Angeles Lakers (1),Portland Trail Blazers (8)
2020,Los Angeles Clippers (2),Dallas Mavericks (7)
2020,Denver Nuggets (3),Utah Jazz (6)
2020,Houston Rockets (4),Oklahoma City Thunder (5)
2020,Boston Celtics (3),Toronto Raptors (2)
2020,Miami Heat (5),Milwaukee Bucks (1)
2020,Denver Nuggets (3),Los Angeles Clippers (2)
2020,Los Angeles Lakers (1),Houston Rockets (4)
2020,Miami Heat (5),Boston Celtics (3)
2020,Los Angeles Lakers (1),Denver Nuggets (3)
2020,Los Angeles Lakers (1),Miami Heat (5)
2019,Milwaukee Bucks (1),Detroit Pistons (8)
2019,Toronto Raptors (2),Orlando Magic (7)
2019,Philadelphia 76ers (3),Brooklyn Nets (6)
2019,Boston Celtics (4),Indiana Pacers (5)
2019,Golden State Warriors (1),Los Angeles Clippers (8)
2019,Denver Nuggets (2),San Antonio Spurs (7)
2019,Portland Trail Blazers (3),Oklahoma City Thunder (6)
2019,Houston Rockets (4),Utah Jazz (5)
2019,Milwaukee Bucks (1),Boston Celtics (4)
2019,Toronto Raptors (2),Philadelphia 76ers (3)
2019,Golden State Warriors (1),Houston Rockets (4)
2019,Portland Trail Blazers (3),Denver Nuggets (2)
2019,Toronto Raptors (2),Milwaukee Bucks (1)
2019,Golden State Warriors (1),Portland Trail Blazers (3)
2019,Toronto Raptors (2),Golden State Warriors (1)
2018,Toronto Raptors (1),Washington Wizards (8)
2018,Boston Celtics (2),Milwaukee Bucks (7)
2018,Philadelphia 76ers (3),Miami Heat (6)
2018,Cleveland Cavaliers (4),Indiana Pacers (5)
2018,Houston Rockets (1),Minnesota Timberwolves (8)
2018,Golden State Warriors (2),San Antonio Spurs (7)
2018,New Orleans Pelicans (6),Portland Trail Blazers (3)
2018,Utah Jazz (5),Oklahoma City Thunder (4)
2018,Golden State Warriors (2),New Orleans Pelicans (6)
